,Unnamed: 0,Rating,Location,Headquarters,Size,Type of ownership,Sector,Revenue,Employer Provided Salary,Salary Per Hour,min salary,max salary,mean salary,Company,age,Company - Private,Company - Public,Government,Hospital,Nonprofit Organization,Other Organization,Subsidiary or Business Segment,le_sectors,mathematics,python, r ,machine learning,aws,cloud,excel,Senior/Junior,Role,No of competitors,Loc==HQ
65,65,2.8, MA, MA,51 - 200 ,Company - Private,Biotech & Pharmaceuticals,$1 - $5 million ,0,0,88,148,118.0,Berg Health,14,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,Data Scientist,0,1
66,66,4.7, GA, GA,51 - 200 ,Company - Private,Information Technology,$25 - $50 million ,0,0,60,99,79.5,Oversight Systems,17,1,0,0,0,0,0,0,6,0,1,1,1,0,1,1,0,Data Scientist,0,1
67,67,3.1, MA, MA,201 - 500 ,Company - Public,Business Services,$100 - $500 million ,0,0,41,72,56.5,C Space,21,0,1,0,0,0,0,0,2,1,1,1,1,0,0,0,0,Data Scientist,4,1
68,68,3.2, PA, PA,1 - 50 ,Company - Private,Business Services,$5 - $10 million ,0,0,96,161,128.5,"Numeric, LLC",-1,1,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,Data Scientist,0,1
69,69,4.0, WA, CA,10000+ ,Company - Public,Information Technology,Unknown / Non-Applicable,0,0,65,130,97.5,HP Inc.,81,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,Data Scientist,0,0
70,70,4.4, IN, CA,1 - 50 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,52,81,66.5,SpringML,5,1,0,0,0,0,0,0,6,1,1,1,0,0,1,0,0,Data Analyst,0,0
71,71,3.6, IL, IL,10000+ ,Company - Public,Business Services,$10+ billion ,0,0,139,220,179.5,Grainger,93,0,1,0,0,0,0,0,2,1,1,1,1,0,0,1,0,Data Scientist,0,1
72,72,2.7, MO, CA,501 - 1000 ,Subsidiary or Business Segment,Business Services,$50 - $100 million ,0,0,50,102,76.0,EAG Laboratories,42,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,Data Scientist,0,0
73,73,3.9, VA, VA,501 - 1000 ,Company - Private,Information Technology,$100 - $500 million ,0,0,85,139,112.0,The Buffalo Group,10,1,0,0,0,0,0,0,6,0,1,1,1,0,1,0,1,Data Scientist,3,1
74,74,3.1, PA, Belgium,1001 - 5000 ,Company - Private,Other Sectors,$1 - $2 billion ,0,0,74,122,98.0,Carmeuse,160,1,0,0,0,0,0,0,9,0,1,0,1,0,1,0,0,Data Scientist,3,0
75,75,4.0, WA, CA,10000+ ,Company - Public,Information Technology,Unknown / Non-Applicable,0,0,99,157,128.0,HP Inc.,81,0,1,0,0,0,0,0,6,1,0,0,1,1,1,0,1,Data Scientist,0,0
76,76,4.3, CA, CA,201 - 500 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,79,222,150.5,h2o.ai,9,1,0,0,0,0,0,0,6,0,1,1,1,1,1,1,0,Data Scientist,0,1
77,77,1.9, MA, MA,51 - 200 ,Company - Private,Biotech & Pharmaceuticals,$10 - $25 million ,0,0,57,118,87.5,GNS Healthcare,20,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,Data Scientist,0,1
78,78,3.3, VA, VA,1001 - 5000 ,Company - Private,Aerospace & Defense,$1 - $2 billion ,0,0,83,137,110.0,Peraton,3,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,Data Scientist,0,1
79,79,4.4, CA, China,10000+ ,Company - Private,Information Technology,$500 million - $1 billion ,0,0,86,141,113.5,Pactera,25,1,0,0,0,0,0,0,6,0,1,1,1,0,0,1,0,Data Scientist,3,0
80,80,3.9, CA, CA,51 - 200 ,Company - Private,Health Care,$1 - $5 million ,0,0,94,154,124.0,Nurx,4,1,0,0,0,0,0,0,5,0,1,1,1,0,0,0,0,Data Scientist,0,1
81,81,4.7, PA, PA,201 - 500 ,Company - Private,Business Services,$25 - $50 million ,0,0,37,76,56.5,webfx.com,23,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Data Analyst,0,1
82,82,4.5, MD, MD,5001 - 10000 ,Nonprofit Organization,Aerospace & Defense,$1 - $2 billion ,0,0,100,160,130.0,Johns Hopkins University Applied Physics Laboratory,78,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,Data Scientist,3,1
83,83,4.3, IL, IL,51 - 200 ,Company - Private,Information Technology,$10 - $25 million ,0,0,55,100,77.5,Productive Edge,12,1,0,0,0,0,0,0,6,0,0,0,1,0,1,1,0,Data Analyst,3,1
84,84,4.0, VA, VA,201 - 500 ,Company - Private,Business Services,$50 - $100 million ,0,0,60,114,87.0,Excella Consulting,18,1,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,Data or ML Engineer,0,1
85,85,4.4, WA, WA,501 - 1000 ,Company - Private,Business Services,$100 - $500 million ,0,0,39,68,53.5,Gensco,72,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,Data Analyst,0,1
86,86,3.2, TX, AR,10000+ ,Company - Public,Retail,$10+ billion ,0,0,106,172,139.0,Walmart,58,0,1,0,0,0,0,0,10,0,0,1,0,0,0,0,0,Data Scientist,3,0
87,87,3.8, CA, WA,201 - 500 ,Company - Private,Business Services,$25 - $50 million ,0,0,86,142,114.0,Logic20/20,15,1,0,0,0,0,0,0,2,1,1,0,1,1,0,1,0,Data Scientist,0,0
88,88,4.2, FL, FL,501 - 1000 ,Company - Private,Information Technology,$100 - $500 million ,0,0,64,107,85.5,goTRG,12,1,0,0,0,0,0,0,6,0,1,1,1,0,0,1,0,Data Scientist,0,1
89,89,4.5, AL, VA,51 - 200 ,Company - Private,Information Technology,$25 - $50 million ,0,0,31,65,48.0,NMR Consulting,24,1,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,Other Data Roles,0,0
90,90,3.5, LA, LA,51 - 200 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,34,62,48.0,iSeatz,21,1,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,Data Analyst,0,1
91,91,3.5, CA, CA,201 - 500 ,Company - Public,Biotech & Pharmaceuticals,$100 - $500 million ,0,0,117,231,174.0,Nektar Therapeutics,30,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,Data Scientist,3,1
92,92,3.9, GA, IL,5001 - 10000 ,Company - Public,Finance,$1 - $2 billion ,0,0,64,106,85.0,TransUnion,52,0,1,0,0,0,0,0,4,0,1,1,1,0,0,0,0,Data Scientist,0,0
93,93,4.7, MD, VA,51 - 200 ,Company - Private,Information Technology,$10 - $25 million ,0,0,79,134,106.5,IT Concepts,17,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,Other Data Roles,0,0
94,94,4.2, MD, GA,1001 - 5000 ,Company - Private,Information Technology,$100 - $500 million ,0,0,52,93,72.5,Scientific Research Corporation,32,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,Data Scientist,0,0
95,95,3.4, MD, VA,10000+ ,Subsidiary or Business Segment,Information Technology,$10+ billion ,0,0,55,116,85.5,General Dynamics Information Technology,24,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,Data Scientist,3,0
96,96,3.2, VA, MA,5001 - 10000 ,Nonprofit Organization,Other Sectors,$1 - $2 billion ,0,0,72,123,97.5,MITRE,62,0,0,0,0,1,0,0,9,0,1,1,0,0,0,1,0,Data Scientist,3,0
97,97,3.9, VA, VA,501 - 1000 ,Company - Private,Information Technology,$100 - $500 million ,0,0,74,124,99.0,The Buffalo Group,10,1,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,Data Scientist,3,1
98,98,3.1, WI, MA,1001 - 5000 ,Company - Private,Insurance,$2 - $5 billion ,0,0,40,73,56.5,DentaQuest,19,1,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,Data Analyst,3,0
99,99,4.1, MD, MD,1 - 50 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,102,164,133.0,Redjack,13,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,1,Data Scientist,0,1
100,100,3.8, NY, NY,51 - 200 ,Company - Private,Business Services,Unknown / Non-Applicable,0,0,89,153,121.0,7Park Data,8,1,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,Data Scientist,0,1
101,101,4.7, NY, NY,501 - 1000 ,Company - Private,Business Services,Unknown / Non-Applicable,0,0,61,110,85.5,Rapid Response Monitoring,28,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,Data Scientist,3,1
102,102,4.3, TX, NY,1001 - 5000 ,Subsidiary or Business Segment,Education,Unknown / Non-Applicable,0,0,65,110,87.5,Trilogy Ed,5,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0,0,Data Scientist,3,0
103,103,4.2, DC, DC,1001 - 5000 ,Company - Private,Business Services,Unknown / Non-Applicable,0,0,200,275,237.5,Gallup,85,1,0,0,0,0,0,0,2,1,1,1,1,0,1,1,1,Data Scientist,3,1
104,104,3.9, NC, VA,1001 - 5000 ,Company - Private,Information Technology,$100 - $500 million ,0,0,68,123,95.5,CapTech,23,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,Data or ML Engineer,3,0
105,105,3.3, MI, MI,10000+ ,Company - Public,Manufacturing,$5 - $10 billion ,0,0,80,129,104.5,American Axle & Manufacturing,26,0,1,0,0,0,0,0,8,1,1,1,1,1,0,1,1,Data Scientist,0,1
106,106,4.7, NJ, FL,201 - 500 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,41,72,56.5,CentralReach,8,1,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,Data Analyst,3,0
107,107,4.3, AZ, AZ,201 - 500 ,Company - Private,Information Technology,$25 - $50 million ,0,0,39,71,55.0,Integrate,10,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,1,Data Analyst,0,1
108,108,2.9, NE, NE,1001 - 5000 ,Hospital,Health Care,Unknown / Non-Applicable,0,0,38,85,61.5,Boys Town Hospital,43,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,Data Scientist,3,1
109,109,4.5, CA, CA,201 - 500 ,Company - Private,Information Technology,$100 - $500 million ,0,0,121,193,157.0,Demandbase,14,1,0,0,0,0,0,0,6,0,0,0,1,1,1,0,0,Data Scientist,3,1
110,110,3.4, NJ, NJ,201 - 500 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,54,102,78.0,Sapphire Digital,1,1,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,Data or ML Engineer,2,1
111,111,3.7, MA, Japan,10000+ ,Company - Public,Biotech & Pharmaceuticals,$10+ billion ,0,0,83,144,113.5,Takeda Pharmaceuticals,239,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,Data Scientist,3,0
112,112,4.6, NY, NY,51 - 200 ,Company - Private,Information Technology,$100 - $500 million ,0,0,120,160,140.0,<intent>,11,1,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,Data Scientist,2,1
113,113,3.2, CA, CA,51 - 200 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,102,163,132.5,Formation,5,1,0,0,0,0,0,0,6,1,0,0,1,0,0,1,0,Data Scientist,0,1
114,114,4.0, CA, CA,5001 - 10000 ,Company - Public,Information Technology,$2 - $5 billion ,0,0,76,140,108.0,Autodesk,38,0,1,0,0,0,0,0,6,1,1,1,0,0,0,0,0,Data or ML Engineer,0,1
115,115,4.6, IN, IN,501 - 1000 ,Company - Private,Other Sectors,$50 - $100 million ,0,0,60,101,80.5,Beck's Hybrids,83,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,Data Scientist,0,1
116,116,2.8, MD, MD,201 - 500 ,Company - Private,Health Care,Unknown / Non-Applicable,0,0,82,133,107.5,DrFirst,20,1,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,Data Scientist,0,1
117,117,4.7, MN, MN,51 - 200 ,Company - Private,Business Services,$25 - $50 million ,0,0,65,125,95.0,Object Partners,24,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,Data or ML Engineer,2,1
118,118,3.0, CA, CA,1001 - 5000 ,Nonprofit Organization,Health Care,Unknown / Non-Applicable,0,0,91,148,119.5,L.A. Care Health Plan,23,0,0,0,0,1,0,0,5,0,1,1,1,0,0,0,0,Data Scientist,3,1
119,119,3.2, NC, SC,1001 - 5000 ,Company - Private,Business Services,$1 - $2 billion ,0,0,95,173,134.0,Red Ventures,20,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,Data or ML Engineer,3,0
120,120,4.4, MA, MA,201 - 500 ,Company - Private,Information Technology,Unknown / Non-Applicable,0,0,77,124,100.5,Quick Base,21,1,0,0,0,0,0,0,6,0,1,0,1,0,0,1,0,Data Scientist,0,1
121,121,3.5, OH, OH,1001 - 5000 ,Company - Public,Other Sectors,$500 million - $1 billion ,0,0,80,135,107.5,The E.W. Scripps Company,142,0,1,0,0,0,0,0,9,0,1,1,0,0,0,0,0,Data Scientist,0,1
